Barcode,C1,C2,C3,C4,C5,C6,C7
MIXC-QS3-QC5,V1S;0.05,W2;0.5,D6;0.2,D10;0.15,HB3;0.1,,
MIXC-TS1-TC1,V1S;0.6,FCR3;0.3,W2;0.1,,,,
MIXC-TS1-TC2,V1S;0.8,FCR3;0.05,W2;0.15,,,,
MIXC-TS1-TC3,V1S;0.1,FCR3;0.6,W2;0.3,,,,
MIXC-TS1-TC4,V1S;0.15,FCR3;0.8,W2;0.05,,,,
MIXC-TS1-TC5,V1S;0.3,FCR3;0.1,W2;0.6,,,,
MIXC-TS1-TC6,V1S;0.05,FCR3;0.15,W2;0.8,,,,
MIXC-TS2-TC1,D6;0.6,FCR3;0.3,W2;0.1,,,,
MIXC-TS2-TC2,D6;0.8,FCR3;0.05,W2;0.15,,,,
MIXC-TS2-TC3,D6;0.1,FCR3;0.6,W2;0.3,,,,
MIXC-TS2-TC4,D6;0.15,FCR3;0.8,W2;0.05,,,,
MIXC-TS2-TC5,D6;0.3,FCR3;0.1,W2;0.6,,,,
MIXC-TS2-TC6,D6;0.05,FCR3;0.15,W2;0.8,,,,
MIXC-TS3-TC1,FCR3;0.6,W2;0.3,HB3;0.1,,,,
MIXC-TS3-TC2,FCR3;0.8,W2;0.05,HB3;0.15,,,,
MIXC-TS3-TC3,FCR3;0.1,W2;0.6,HB3;0.3,,,,
MIXC-TS3-TC4,FCR3;0.15,W2;0.8,HB3;0.05,,,,
MIXC-TS3-TC5,FCR3;0.3,W2;0.1,HB3;0.6,,,,
MIXC-TS3-TC6,FCR3;0.05,W2;0.15,HB3;0.8,,,,
MIXC-TS4-TC1,V1S;0.6,W2;0.3,D6;0.1,,,,
MIXC-TS4-TC2,V1S;0.8,W2;0.05,D6;0.15,,,,
MIXC-TS4-TC3,V1S;0.1,W2;0.6,D6;0.3,,,,
MIXC-TS4-TC4,V1S;0.15,W2;0.8,D6;0.05,,,,
MIXC-TS4-TC5,V1S;0.3,W2;0.1,D6;0.6,,,,
MIXC-TS4-TC6,V1S;0.05,W2;0.15,D6;0.8,,,,
MIXC-TS5-TC1,HB3;0.6,U659;0.3,D10;0.1,,,,
MIXC-TS5-TC2,HB3;0.8,U659;0.05,D10;0.15,,,,
MIXC-TS5-TC3,HB3;0.1,U659;0.6,D10;0.3,,,,
MIXC-TS5-TC4,HB3;0.15,U659;0.8,D10;0.05,,,,
MIXC-TS5-TC5,HB3;0.3,U659;0.1,D10;0.6,,,,
MIXC-TS5-TC6,HB3;0.05,U659;0.15,D10;0.8,,,,
